intent	examples
greetings	Добрый денгь
greetings	Добрый ддень
greetings	Добрый весер
greetings	Добрый деньй
greetings	Добрый днень
greetings	Добрый ден6ь
greetings	Добрый денья
greetings	Доброле утро
greetings	Добрый денег
greetings	Добрыфй день
greetings	Добрйый день
greetings	Добрый деньЮ
greetings	Доброго дгня
greetings	Добрый депнь
greetings	Добрыйм день
greetings	Добрый вычер
greetings	Добрыйй день
greetings	Добрыйт день
greetings	Добрый декнь
greetings	Добрый дкньЁ
greetings	Добрывй день
greetings	Добры2й день
greetings	Доброго дняУ
greetings	Добрый де6нь
greetings	Добрый дкень
greetings	Добрый деньв
greetings	Добрый веяер
greetings	Добрый2 день
greetings	Доброго дняю
greetings	Добрпый день
greetings	Добрый день0
greetings	Добрый денеь
greetings	Доброго всем
greetings	Доброе утро0
greetings	Добрый дениь
greetings	Добры йвечер
greetings	Добрый вевер
greetings	Добрый деннь
greetings	Добрый вечар
greetings	Доброй вечер
greetings	Добрый день7
greetings	Добрый ыечер
greetings	Доброго дняя
greetings	Добррый день
greetings	Добрый денль
greetings	Добрыйь день
greetings	Добрый дкент
greetings	Добрвый день
greetings	Доброе утроЙ
greetings	Доброый день
greetings	Добрый лдень
greetings	Добрый идень
greetings	Доброе утро
greetings	Добрый день
greetings	Доброго дня
greetings	Добрый дени
greetings	Добры йдень
greetings	Добры вечер
greetings	Доброго Как
greetings	Добрый жень
greetings	Добрый дегь
greetings	Добрый дент
greetings	Добрвй день
greetings	Добрый дено
greetings	Добрый утро
greetings	Добрым день
greetings	Добрый ечер
greetings	Доброе день
greetings	Добрыйтдень
greetings	Доброй ночи
greetings	Добрый лень
greetings	Добрsй день
greetings	Добрйы день
greetings	Добрый денб
greetings	Добры денть
greetings	Добрые день
greetings	Доброе уиро
greetings	Добрых день
greetings	Добрый1день
greetings	Добрый тень
greetings	Добрый веер
greetings	Добрый пень
greetings	Добрый еднь
greetings	Доброе утор
greetings	Добрый деь1
greetings	Добрый дннь
greetings	Добрй вечер
greetings	Добрый ltym
greetings	Добрый ночи
greetings	Доброго вам
greetings	Доброй нови
greetings	Добрай день
greetings	Добрыйф ден
greetings	Добрый деть
greetings	Добрыц день
greetings	Добрый дань
greetings	Добрый денm
greetings	Добрій день
greetings	Добрый вече
greetings	Добрый днеь
greetings	Добрый дкнь
greetings	Добрвц день
greetings	Добрый вечр
greetings	Доброе уьро
greetings	Доброго все
greetings	Добрый деню
greetings	Доброй день
greetings	Доброу утро
greetings	Добрый Как
greetings	Доброго ня
greetings	Добрыйдень
greetings	Доброе уро
greetings	Добры день
greetings	Добрй день
greetings	Добрый днь
greetings	Добрый деь
greetings	Добрый ден
greetings	Доброу тро
greetings	Добро утро
greetings	Добрый час
greetings	Добрыйден1
greetings	Добрый ень
greetings	Доброгодня
greetings	Доброг дня
greetings	Доброе утр
greetings	Доброеутро
greetings	Добрый дже
greetings	Добре утро
greetings	Доброй ноч
greetings	Добрый дке
greetings	Доброе дня
greetings	Добрый лен
greetings	Добр вечер
greetings	Добрый де
greetings	Добр утро
greetings	Добр день
greetings	Добрый За
greetings	Добрый жС
greetings	Добрый дн
greetings	Доброе у
greetings	Добрый Д
greetings	Добрый в
greetings	Добрый а
greetings	Добрый р
greetings	Доброго
greetings	вДобрый
greetings	Добрый1
greetings	Добры й
greetings	Добровы
greetings	Привет
greetings	Добрый
greetings	Доброе
greetings	Доброй
greetings	Добрв
greetings	Добры
greetings	Добр
test	тест
test	тестовое сообщение
test	тестирование
test	тестовое письмо
test	test 
test	слово тест
test	это тест
test	тест для эксперта
test	доюрый день, тест
test	Добрый день тест
test	Добрый день. запрос тестовый
test	Добрый день! тест
test	тестовая проверка
test	ТЭСТ
test	это просто тест
test	проверки связи - тест
test	просто тест
test	Здравствуйте. тест.
test	добрый день. тест
test	Добрый день. Тест.
test	Добрый день! Тест.
test	Добрый день! Это тест
test	test
test	Здравствуйте тест
test	Провожу Тестирование )
test	тест тест прод
ping testing	проверка связи
ping testing	добрый день. проверка связи.
ping testing	Проверка связи, спасибо
ping testing	Проверка связи. спасибо
ping testing	добрый день. проверка связи
ping testing	проверка
ping testing	добрый день, это проверка связи
ping testing	это проверка связи
ping testing	спасибо,проверка связи
ping testing	Извините. пожалуйста, проверка связи от менеджера)
ping testing	проверка связи)
ping testing	проверка связи)))
ping testing	Здравствуйте! проверка связи
ping testing	Спасибо, проверка связи.
ping testing	Добрый день.Проверка связи.
ping testing	проверка связи.
ping testing	Спасибо.. проверка связи с Вашим сотрудником!!
ping testing	проверка связи. спасибо за оперативность
gratitude	спасибо
gratitude	да спасибо
gratitude	Спасибо!
gratitude	СПАСИБО!!!
gratitude	спасибо !
gratitude	Спасибо большое
gratitude	спасибо огромное
gratitude	Большое спасибо
gratitude	огромное спасибо
gratitude	Спасибо, огромное
gratitude	спасибо вам большое
gratitude	спасибо.
gratitude	Спасибо большое!
gratitude	Большое спасибо!!!
gratitude	Большое спасибо!
gratitude	спасибо огромное!
gratitude	спасибо большое!!!!
gratitude	Да, спасибо
gratitude	да, спасибо!
gratitude	да.Спасибо
gratitude	Большое спасибо за ответ!
gratitude	спасибо большое за ответ!!!
gratitude	Спасибо за ответ!
gratitude	Огромное спасибо за ответ!
gratitude	Спасибо за ответ, изучим!
gratitude	Спасибо большое за ответ!
gratitude	спасибо, прорабатываю ответ
gratitude	Спасибо за оперативный ответ
gratitude	спасибо ответ
gratitude	Спасибо за понятный ответ
gratitude	Спасибо большое.
gratitude	Большое спасибо.
gratitude	огромное спасибо.
gratitude	хорошо.спасибо
gratitude	Хорошо, спасибо!
gratitude	Хорошо, спасибо)
gratitude	Спасибо, отлично.
gratitude	хорошо, спасибо
gratitude	Хорошо, спасибо.
gratitude	Спасибо большое)
gratitude	Спасибо Большое)))
gratitude	спасибо)
gratitude	я поняла спасибо
gratitude	Спасибо. Поняла.
gratitude	Поняла, спасибо
gratitude	Понял спасибо.
gratitude	Спасибо большое за помощь!
gratitude	Спасибо, вы мне очень помогли.
gratitude	спасибо за помощь
gratitude	спасибо большое за помощь
gratitude	Всё понятно, Спасибо!
gratitude	Спасибо, все понятно
gratitude	Спасибо. Все понятно.
gratitude	спасибо, буду ждать
gratitude	Спасибо большое! разбираюсь
gratitude	понятно, спасибо
gratitude	ясно, спасибо
gratitude	Ясно, спасибо.
gratitude	Окей. спасибо
gratitude	Спасибо. Удачи.
gratitude	хорошо спасибо
gratitude	Спасибо большое , хорошего вам дня.
gratitude	Спасибо,
gratitude	Спасибо)!
gratitude	Спасибо!)
gratitude	Спасибо .
gratitude	Да, спасибо большое
gratitude	Поняла. Спасибо.
gratitude	Поняла, спасибо.
gratitude	Спасибо поняла
gratitude	поняла , спасибо
gratitude	Хорошо. Спасибо!
gratitude	Да хорошо, спасибо
gratitude	ок) Спасибо)
gratitude	спасибо))
gratitude	Да, конечно. Спасибо.
gratitude	Да, конечно, спасибо!
gratitude	Конечно, спасибо!
gratitude	Да, конечно! Спасибо!
gratitude	Понятно. спасибо.
gratitude	Спасибо, все понятно.
gratitude	Понятно, спасибо.
gratitude	Ясно. спасибо.
gratitude	Понял, спасибо!
gratitude	Поняла, спасибо:)
gratitude	Я поняла Вас,спасибо!
gratitude	спасибо. поняла))
gratitude	Понял. Спасибо!
gratitude	СПасибо огромное!!!!
gratitude	Спасибо большое!!
gratitude	спасибо за помощь ))
gratitude	Спасибо, помогли
gratitude	Спасибо, получили вопрос на свой ответ
gratitude	спасибо за ответ
gratitude	Спасибо за ответ.
gratitude	ок.спасибо.
gratitude	Спасибо.Всего доброго.
gratitude	ок, спасибо.
gratitude	спасибо большое))
gratitude	ок спасибо
gratitude	ок. спасибо
gratitude	Спасибо большое !
gratitude	Большое спасибо !!!!!
gratitude	поняла, спасибо !
gratitude	Поняла, спасибо большое)))
gratitude	Спасибо. Поняла
gratitude	Хорошо, спасибо, я поняла
gratitude	Поняла. Спасибо
gratitude	Спасибо. Отлично
gratitude	Хорошо. Спасибо.
gratitude	Хорошо. Спасибо
gratitude	Отлично, спасибо.
gratitude	спасибо)))
gratitude	да, конечно. Спасибо
gratitude	Конечно, спасибо
gratitude	Да, спасибо.
gratitude	Большое спасибо за ответ.
gratitude	Понятно. Спасибо!
gratitude	понятно спасибо
gratitude	понятно. спасибо
gratitude	Огромное спасибо за помощь
gratitude	Огромное Вам спасибо!
gratitude	Спасибо, буду здать
gratitude	Спасибо, буду знать
gratitude	Благодарю
gratitude	Благодарю!
gratitude	Благодарю.
gratitude	благодарю Вас))
gratitude	Благодарю Вас!
gratitude	Благодарю за ответ
gratitude	благодарю вас
gratitude	Благодарю за ответ!
gratitude	Благодарю)
gratitude	Благодарю за помощь!
gratitude	Благодарю вас.
gratitude	Отлично! Благодарю!
gratitude	Да, благодарю
gratitude	Благодарю за ответ.
gratitude	Благодарю за помощь
gratitude	Благодарю))
gratitude	благодарю !
gratitude	Благодарю!!!
gratitude	Супер, благодарю!
gratitude	Чудесно, благодарю Вас! Вы очень помогли =)
gratitude	Увидела. Благодарю
gratitude	Ясно.Благодарю
gratitude	Хорошо, благодарю
